Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CO-029,Delta County,13.27,13,-4.41,17.68
CO-031,Denver County,11.49,17,-3.53,15.02
CO-033,Dolores County,14.54,4,-8.81,23.35
CO-035,Douglas County,14.71,20,-3.53,18.24
CO-037,Eagle County,19.39,12,-4.66,24.05
CO-039,Elbert County,14.43,36,-2.14,16.57
CO-041,El Paso County,14.27,35,-1.75,16.02
CO-043,Fremont County,10.77,10,-3.51,14.28
CO-045,Garfield County,19.17,29,-3.36,22.53
CO-047,Gilpin County,18.56,19,-4.32,22.88
CO-049,Grand County,18.8,15,-3.59,22.39
CO-051,Gunnison County,16.27,3,-6.99,23.26
CO-053,Hinsdale County,20.57,4,-10.38,30.95
CO-055,Huerfano County,13.05,10,-4.83,17.88
CO-057,Jackson County,19.86,19,-3.29,23.15
CO-059,Jefferson County,14.42,15,-3.77,18.19
CO-061,Kiowa County,13.87,56,-0.34,14.21
CO-063,Kit Carson County,17.11,70,0.29,16.82
CO-065,Lake County,20.59,16,-3.65,24.24
CO-067,La Plata County,13.76,3,-9.67,23.43
CO-069,Larimer County,18.14,38,-1.83,19.97
CO-071,Las Animas County,14.04,35,-2.22,16.26
CO-073,Lincoln County,12.08,32,-2.18,14.26
CO-075,Logan County,16.98,74,0.35,16.63
CO-077,Mesa County,13.91,25,-3,16.91
CO-079,Mineral County,18.91,4,-11.69,30.6
CO-081,Moffat County,12.28,23,-2.59,14.87
CO-083,Montezuma County,11.43,10,-5.75,17.18
CO-085,Montrose County,10.24,4,-5.28,15.52
CO-087,Morgan County,14.05,57,-0.47,14.52
CO-089,Otero County,11.41,37,-1.97,13.38
CO-091,Ouray County,15.01,3,-7.36,22.37
CO-093,Park County,13.26,9,-4.12,17.38
CO-095,Phillips County,17.14,57,-0.79,17.93
CO-097,Pitkin County,23.61,14,-5.56,29.17
CO-099,Prowers County,16.95,93,1.8,15.15
CO-101,Pueblo County,10.08,15,-3.48,13.56
CO-103,Rio Blanco County,16.5,33,-2.37,18.87
CO-105,Rio Grande County,10.56,13,-4.05,14.61
CO-107,Routt County,21.01,16,-4.08,25.09
CO-109,Saguache County,11.41,5,-5.23,16.64
CO-111,San Juan County,27.13,3,-14.66,41.79
CO-113,San Miguel County,11.93,4,-7.18,19.11
CO-115,Sedgwick County,22.12,111,4.02,18.1
CO-117,Summit County,21.64,16,-4.91,26.55
CO-119,Teller County,15.53,18,-3.63,19.16
CO-121,Washington County,17.27,75,0.77,16.5
CO-123,Weld County,12.11,34,-1.74,13.85
CO-125,Yuma County,19.39,88,1.84,17.55
CT-001,Fairfield County,63.15,122,15.35,47.8
CT-003,Hartford County,63.04,123,16.53,46.51
CT-005,Litchfield County,64,124,15.79,48.21
CT-007,Middlesex County,59.79,121,13.01,46.78
CT-009,New Haven County,61.8,121,14.28,47.52
CT-011,New London County,57.88,119,12.2,45.68
CT-013,Tolland County,62.72,123,17.08,45.64
CT-015,Windham County,63.42,124,17.68,45.74
DE-001,Kent County,61.37,125,18.32,43.05
DE-003,New Castle County,64.29,125,21.08,43.21
DE-005,Sussex County,57.15,121,13.55,43.6
FL-001,Alachua County,66.46,124,13.91,52.55
FL-003,Baker County,52.8,71,1.31,51.49
FL-005,Bay County,70.18,111,11.73,58.45
FL-007,Bradford County,60.87,109,8.65,52.22
FL-009,Brevard County,46.72,42,-3.69,50.41
FL-011,Broward County,53,42,-4.04,57.04
FL-013,Calhoun County,70.79,115,12.71,58.08
FL-015,Charlotte County,56.29,98,5.47,50.82
FL-017,Citrus County,66.26,117,13.01,53.25
FL-019,Clay County,60.76,112,8.96,51.8
FL-021,Collier County,54.87,83,2.79,52.08
FL-023,Columbia County,58.65,102,7.14,51.51
FL-027,DeSoto County,57.06,94,5.75,51.31
FL-029,Dixie County,81.05,125,27.36,53.69
FL-031,Duval County,51.85,72,1.67,50.18
FL-033,Escambia County,76.28,112,14.05,62.23
FL-035,Flagler County,63.98,116,12.17,51.81
FL-037,Franklin County,64.79,99,6.56,58.23
FL-039,Gadsden County,73.16,118,16.58,56.58
FL-041,Gilchrist County,74.56,124,21.8,52.76
FL-043,Glades County,45.35,32,-4.89,50.24
FL-045,Gulf County,65.6,99,7.14,58.46
FL-047,Hamilton County,64.79,115,12.95,51.84
FL-049,Hardee County,55.85,84,3.42,52.43
FL-051,Hendry County,43.25,20,-8.56,51.81
FL-053,Hernando County,63.12,111,9.67,53.45
FL-055,Highlands County,53.6,80,3.19,50.41
FL-057,Hillsborough County,61.8,113,9.56,52.24
FL-059,Holmes County,76.26,119,18.6,57.66
FL-061,Indian River County,43.48,19,-8.94,52.42
FL-063,Jackson County,72.75,120,18.07,54.68
FL-065,Jefferson County,74.03,121,18.95,55.08
FL-067,Lafayette County,75.41,124,21.02,54.39
FL-069,Lake County,56.87,101,6.05,50.82
FL-071,Lee County,51.96,81,1.95,50.01
FL-073,Leon County,74.17,119,16.91,57.26
FL-075,Levy County,71.86,124,18.95,52.91
FL-077,Liberty County,69.73,110,10.92,58.81
FL-079,Madison County,72.26,121,18.7,53.56
FL-081,Manatee County,58.12,96,5.63,52.49
FL-083,Marion County,63.97,116,11.33,52.64
FL-085,Martin County,46.83,28,-7.21,54.04
FL-086,Miami-Dade County,49.61,30,-5.54,55.15
FL-087,Monroe County,45.51,30,-5.33,50.84
FL-089,Nassau County,54.15,84,3.61,50.54
FL-091,Okaloosa County,72.63,104,11.96,60.67
FL-093,Okeechobee County,47.21,41,-3.51,50.72
FL-095,Orange County,53.92,89,3.62,50.3
FL-097,Osceola County,52.79,77,2.5,50.29
FL-099,Palm Beach County,50.25,30,-6.6,56.85
FL-101,Pasco County,62.27,111,9.32,52.95
FL-103,Pinellas County,59.69,104,8.2,51.49
FL-105,Polk County,58.65,104,6.98,51.67
FL-107,Putnam County,69.05,122,15.96,53.09
FL-109,St. Johns County,61.19,110,10.25,50.94
FL-111,St. Lucie County,45.33,26,-7.4,52.73
FL-113,Santa Rosa County,70.32,94,8.3,62.02
FL-115,Sarasota County,59.85,106,7.81,52.04
FL-117,Seminole County,52.63,79,2.2,50.43
FL-119,Sumter County,59.41,106,7.14,52.27
FL-121,Suwannee County,67.33,117,14.17,53.16
FL-123,Taylor County,77.75,122,22.23,55.52
FL-125,Union County,58.11,103,6.41,51.7
FL-127,Volusia County,58.14,102,7.3,50.84
FL-129,Wakulla County,73.48,116,15.3,58.18
FL-131,Walton County,74.77,114,14.67,60.1
FL-133,Washington County,73.8,119,16.49,57.31
GA-001,Appling County,47,66,-0.93,47.93
GA-003,Atkinson County,51.02,85,2.25,48.77
GA-005,Bacon County,44.1,44,-4.1,48.2
GA-007,Baker County,62.77,111,11.07,51.7
GA-009,Baldwin County,54.52,107,8.2,46.32
GA-011,Banks County,74.32,124,21.54,52.78
GA-013,Barrow County,71.13,123,20.61,50.52
GA-015,Bartow County,62.26,115,11.11,51.15
GA-017,Ben Hill County,58.28,114,10.72,47.56
GA-019,Berrien County,56.66,108,8.22,48.44
GA-021,Bibb County,52.49,101,6.15,46.34
GA-023,Bleckley County,58.98,115,12.11,46.87
GA-025,Brantley County,57.3,103,7.42,49.88
GA-027,Brooks County,61.82,110,9.89,51.93
GA-029,Bryan County,50.16,75,1.27,48.89
GA-031,Bulloch County,54.06,104,6.58,47.48
GA-033,Burke County,54.43,110,9.07,45.36
GA-035,Butts County,61.15,116,11.94,49.21
GA-037,Calhoun County,60.74,106,8.86,51.88
GA-039,Camden County,56.02,95,5.14,50.88
GA-043,Candler County,54.08,103,7.18,46.9
GA-045,Carroll County,72.79,124,19.43,53.36
GA-047,Catoosa County,64.58,110,11.69,52.89
GA-049,Charlton County,54.23,91,4,50.23
GA-051,Chatham County,46.37,52,-2.61,48.98
GA-053,Chattahoochee County,58.8,109,10.2,48.6
GA-055,Chattooga County,67.45,114,12.72,54.73
GA-057,Cherokee County,68.16,118,14.7,53.46
GA-059,Clarke County,70.48,123,20.74,49.74
GA-061,Clay County,59.96,104,7.8,52.16
GA-063,Clayton County,68.62,124,18.68,49.94
GA-065,Clinch County,54.5,94,4.69,49.81
GA-067,Cobb County,66.99,120,15.92,51.07
GA-069,Coffee County,52.24,94,4.02,48.22
GA-071,Colquitt County,58.95,109,8.73,50.22
